PE1,PE2,PE3,PE4,PE5,SI1,SI2,SI3,SI4,SI5,FC1,FC2,FC3,FC4,FC5,HM1,HM2,HM3,HM4,HM5,HM6,HM7,PV1,PV2,PV3,PV4,HT1,HT2,HT3,HT4,HT5,EE1,EE2,EE3,EE4,EE5,BI1,BI2,BI3,BI4,BI5
2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,2,1,2,1,agree,neutral,option,option,option,1,1,1,1,1,7,4,7,7,7
6,6,6,6,6,5,5,4,3,4,4,4,4,5,5,4,4,4,3,3,3,3,6,6,6,5,agree,agree,agree,agree,agree,6,5,6,5,5,6,6,5,5,5
6,6,5,5,6,6,6,5,6,6,5,5,4,4,4,4,4,4,4,4,4,4,6,6,5,5,somewhat_agree,somewhat_agree,agree,neutral,neutral,4,5,6,6,5,1,5,5,5,5
6,5,5,5,4,6,5,5,4,2,3,5,4,6,6,5,5,4,5,5,5,4,3,5,5,5,somewhat_agree,neutral,neutral,agree,disagree,5,3,5,5,4,5,4,4,5,4
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,5
5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,5
6,6,6,6,6,6,6,5,3,3,3,6,3,5,6,5,5,4,5,6,6,6,5,6,6,6,agree,somewhat_agree,agree,agree,agree,6,5,5,5,5,6,4,4,5,6
1,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,5,5,4,4,4,4,4,5,4,4,4,4,4,6,5,5,5,5,5,4,5,4,5,6,5,agree,neutral,agree,disagree,agree,3,5,4,5,5,5,4,4,4,4
5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,4,3,2,5,1,1,1,1,4,6,4,5,5,5,5,5,5,4,3,4,3,strongly_agree,strongly_agree,strongly_agree,strongly_agree,option,7,6,5,4,5,4,5,2,4,4
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,5
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,5
5,5,7,6,5,5,5,6,2,4,5,4,7,7,4,5,5,5,5,5,5,5,5,5,7,5,agree,agree,neutral,neutral,neutral,5,5,5,5,5,7,7,7,5,7
1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,1,option,option,option,option,option,1,1,1,1,1,1,1,1,1,4
5,3,4,6,6,5,5,5,5,3,5,6,3,6,5,5,5,5,5,5,5,5,3,5,5,3,agree,agree,neutral,somewhat_agree,neutral,6,3,6,6,4,5,5,5,5,5
6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,6,6,6,6,6,6,6,6,6,6,6,agree,neutral,neutral,neutral,neutral,5,6,6,6,5,6,6,6,5,5
6,5,5,6,5,6,4,5,3,3,3,4,3,4,5,5,5,5,5,5,5,4,6,5,5,5,agree,agree,agree,somewhat_agree,agree,4,3,5,4,4,3,5,5,5,5
4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,disagree,disagree,neutral,disagree,disagree,5,5,3,5,5,4,4,4,4,5
5,3,5,4,5,2,2,2,2,1,4,4,1,5,4,5,5,5,5,5,5,5,5,5,5,3,strongly_agree,strongly_agree,somewhat_agree,strongly_agree,somewhat_disagree,4,4,4,4,4,7,6,6,6,6
6,6,6,6,6,5,5,5,5,5,6,6,5,5,5,6,6,6,6,6,6,6,1,6,1,5,somewhat_agree,agree,somewhat_agree,somewhat_agree,somewhat_agree,1,6,6,6,6,6,5,5,5,5
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,2,2,2,2,1,2,4,1,4,4,3,4,4,4,4,4,4,5,5,5,5,strongly_agree,strongly_agree,somewhat_agree,somewhat_agree,option,6,6,6,6,6,4,4,4,4,5
6,6,6,6,6,5,5,5,5,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,5,agree,somewhat_agree,somewhat_agree,agree,agree,1,5,6,5,5,6,6,5,5,6
3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,2,2,2,2,disagree,disagree,disagree,disagree,disagree,5,5,5,5,3,4,4,4,4,4
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,5,4,4
1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
6,6,6,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,5,neutral,neutral,agree,agree,agree,6,5,5,6,6,6,6,5,4,5
5,5,6,6,5,5,5,5,4,6,5,4,4,5,5,5,4,5,3,5,5,5,5,6,6,6,somewhat_agree,agree,neutral,agree,somewhat_agree,6,6,4,5,4,5,5,5,6,4
1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,6,6,6,6,6,6,4,6,3,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,agree,agree,agree,agree,agree,6,4,6,5,5,6,6,6,6,6
1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,5
2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,agree,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,6,5,5,5,5,5,6,6,4,6,5,5,6,6,5,6,6,6,5,5,5,1,5,5,5,agree,agree,neutral,agree,neutral,1,5,6,4,4,4,4,4,4,4
1,2,2,5,4,1,1,1,1,1,3,3,3,3,7,7,7,6,6,6,6,6,4,6,5,1,strongly_agree,strongly_agree,somewhat_agree,strongly_agree,neutral,6,6,6,6,6,2,5,4,5,4
3,3,5,5,5,4,4,4,4,4,3,3,5,4,4,5,5,5,5,5,5,5,5,4,5,4,disagree,disagree,agree,disagree,disagree,5,5,5,5,5,4,4,4,4,4
5,5,5,5,5,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,4,4,4,4,disagree,disagree,disagree,disagree,disagree,5,5,5,5,5,4,4,4,4,4
5,5,5,5,5,5,5,5,3,5,2,5,5,6,5,5,4,5,5,5,5,5,5,5,5,5,agree,neutral,neutral,neutral,neutral,5,4,6,6,5,5,4,4,5,5
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,5,5,5,5,5,6,5,6,5,6,5,agree,agree,somewhat_agree,agree,agree,5,5,5,5,5,6,5,5,5,6
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
6,6,5,5,5,5,4,4,4,4,4,6,6,6,6,4,5,6,5,5,5,6,6,5,5,5,somewhat_agree,agree,somewhat_agree,agree,neutral,1,6,6,4,4,6,6,6,5,5
5,6,6,6,5,5,5,6,4,5,5,5,5,5,4,6,4,6,6,5,4,5,4,4,4,4,somewhat_agree,agree,agree,agree,neutral,4,6,6,5,5,5,6,6,5,4
5,5,5,5,6,5,4,5,2,2,5,6,3,6,5,5,5,5,5,5,5,5,5,4,4,4,agree,agree,agree,neutral,somewhat_agree,6,5,5,5,5,6,6,5,4,5
1,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,6,6,5,6,5,6,5,5,5,5,5,4,6,5,5,6,5,6,5,6,5,6,5,6,6,agree,agree,agree,agree,agree,5,5,6,6,6,6,6,4,6,5
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
5,5,5,6,6,5,6,5,5,6,5,5,6,6,5,6,6,5,5,5,6,6,6,5,6,6,agree,somewhat_agree,somewhat_agree,somewhat_agree,agree,6,6,6,5,4,4,4,5,4,4
5,5,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,disagree,disagree,disagree,disagree,disagree,4,3,3,4,5,4,4,4,4,4
3,3,5,5,5,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,disagree,disagree,neutral,disagree,disagree,3,3,3,3,3,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,6,6,6,6,6,6,4,4,4,4,neutral,neutral,neutral,agree,neutral,5,5,5,5,5,4,4,4,4,4
6,6,6,5,5,6,5,6,3,2,5,6,2,6,6,5,5,5,6,5,5,6,6,6,5,5,agree,agree,agree,agree,somewhat_agree,4,6,5,6,6,3,4,4,4,4
5,5,5,5,5,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,6,2,2,2,5,disagree,disagree,disagree,disagree,disagree,3,5,3,4,5,4,4,4,4,4
3,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,5,5,5,5,5,6,4,4,4,4,disagree,disagree,agree,disagree,agree,5,5,5,5,5,6,6,6,6,6
5,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,6,5,5,5,5,disagree,disagree,disagree,disagree,disagree,5,5,5,5,5,4,4,4,4,4
5,4,5,5,5,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,6,4,4,5,4,disagree,disagree,disagree,disagree,disagree,5,5,5,5,5,6,6,6,6,6
4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,6,6,6,4,5,6,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,6,6,6,6,6
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,neutral,neutral,neutral,neutral,neutral,4,4,4,4,4,4,4,4,4,4
